#{"t_start": 1784186343.084885, "env_id": "None"}
r,l,t
-336.77768,500,17.260042
-178.27985,500,17.260086
-279.02295,500,17.260093
-133.34207,500,17.260097
-323.9087,500,26.567328
-226.91673,500,26.567368
-294.49332,500,26.567374
-342.54236,500,26.567378
-147.82375,500,37.104828
-112.94951,500,37.104871
-236.60132,500,37.104877
-234.39801,500,37.104882
-246.11792,500,47.231316
-261.17654,500,47.231364
-149.21564,500,47.23137
-212.07361,500,47.231375
-301.2534,500,60.494868
-259.29535,500,60.494916
-240.82436,500,60.494923
-291.01178,500,60.494927
-90.87585,500,71.650434
-225.61713,500,71.650479
-192.94856,500,71.650486
-220.4984,500,71.650491
-109.49426,500,81.766987
-229.30498,500,81.767032
-163.34917,500,81.767039
-192.55328,500,81.767043
-79.36548,500,91.920459
-148.1892,500,91.920503
-150.511,500,91.920509
-198.08641,500,91.920513
-226.00478,500,104.132885
-193.56203,500,104.132936
-206.6891,500,104.132943
-216.10968,500,104.132948
-258.0309,500,116.6904
-94.63737,500,116.690447
-125.39093,500,116.690454
-214.90994,500,116.690458
-178.68323,500,126.149865
-173.62738,500,126.149906
-170.43146,500,126.149913
-97.289764,500,126.149917
-145.37256,500,136.202936
-157.55891,500,136.202978
-115.27231,500,136.202984
-155.62029,500,136.202988
-270.71738,500,147.329167
-140.96577,500,147.329209
-174.93178,500,147.329215
-80.53972,500,147.329219
-120.14336,500,158.293681
-139.75484,500,158.293725
-92.13461,500,158.293732
-181.43161,500,158.293736
-213.90338,500,170.388662
-114.377686,500,170.388713
-205.08109,500,170.38872
-94.63397,500,170.388724
-135.52487,500,182.370659
-116.51314,500,182.370697
-109.50594,500,182.370703
-83.264084,500,182.370708
-96.44953,500,194.208669
-169.50072,500,194.20871
-221.72554,500,194.208717
-143.90295,500,194.208722
-131.95067,500,203.704501
-165.11311,500,203.704541
-124.41557,500,203.704547
-91.25195,500,203.704551
-106.02526,500,213.724148
-76.00224,500,213.724191
-166.97943,500,213.724201
-62.665997,500,213.724205
-129.96288,500,223.813756
-217.3179,500,223.813795
-98.58885,500,223.813801
-191.8652,500,223.813805
-77.38781,500,236.085938
-212.58418,500,236.085979
-182.68094,500,236.085986
-152.51604,500,236.08599
-224.58669,500,247.154578
-125.85801,500,247.154622
364.62106,500,247.154629
-96.53179,500,247.154634
-96.66345,500,257.50294
-62.330757,500,257.502986
-103.16271,500,257.502994
-175.17795,500,257.502998
-62.52439,500,267.83118
-107.12616,500,267.831225
-91.32549,500,267.831232
-95.87341,500,267.831237
-177.69795,500,279.383051
-197.74281,500,279.383091
-142.33167,500,279.383098
-134.73264,500,279.383102
-152.96642,500,289.116442
-87.07631,500,289.116484
-145.14728,500,289.116491
-78.72981,500,289.116495
-129.73761,500,299.020159
-87.73531,500,299.020201
-95.812355,500,299.020208
-156.74387,500,299.020212
-90.66834,500,310.433821
-102.28629,500,310.433868
-148.5517,500,310.433875
-129.47075,500,310.433879
-140.46529,500,322.102452
-77.35869,500,322.102497
-123.7838,500,322.102504
-96.12165,500,322.102508
-171.86809,500,332.771916
-181.79546,500,332.771961
-91.08238,500,332.771967
289.48376,500,332.771971
-91.63775,500,344.369483
-70.48693,500,344.369529
-148.26857,500,344.369536
-67.33943,500,344.36954
-87.33919,500,355.856434
-77.696075,500,355.856475
-173.63518,500,355.856482
263.64557,500,355.856486
