#{"t_start": 1786951230.2173154, "env_id": "None"}
r,l,t
-706.72833,500,15.777477
-448.71924,500,15.777527
-1098.5848,500,15.777538
-635.1293,500,15.777544
-925.3322,500,26.096099
-1019.9178,500,26.096145
-995.4726,500,26.096153
-839.6213,500,26.096157
-784.31616,500,36.021386
-820.9098,500,36.021421
-908.03894,500,36.021427
-960.68994,500,36.021431
-928.82556,500,46.732476
-351.11545,500,46.732513
-882.6442,500,46.73252
-569.24414,500,46.732524
-660.78784,500,58.977985
-835.92596,500,58.978043
-850.6583,500,58.97805
-790.61566,500,58.978055
-491.42358,500,69.069833
-429.9279,500,69.069868
-579.31104,500,69.069875
-689.6728,500,69.069879
-981.3678,500,79.231287
-787.4306,500,79.231323
-604.6493,500,79.231329
-688.1573,500,79.231333
-769.8796,500,88.878016
-882.30743,500,88.878053
-772.03546,500,88.87806
-700.8728,500,88.878065
-573.4925,500,101.768779
-579.9251,500,101.768817
-592.9897,500,101.768823
-667.9638,500,101.768827
-486.98996,500,113.132376
-484.9697,500,113.132411
-486.45795,500,113.132418
-533.73645,500,113.132421
-616.92847,500,124.163765
-560.69354,500,124.163809
-565.77234,500,124.163816
-353.2499,500,124.163821
-532.3467,500,134.029671
-594.9045,500,134.029708
-811.2176,500,134.029715
-532.3808,500,134.029719
-664.72925,500,145.996307
-417.78076,500,145.996348
-673.18555,500,145.996354
-446.95734,500,145.996358
-341.62735,500,155.546832
-557.16846,500,155.546871
-290.0221,500,155.546878
-609.0206,500,155.546881
-452.1695,500,165.051853
-575.12946,500,165.05189
-366.646,500,165.051896
-563.74976,500,165.0519
-579.18005,500,174.708762
-374.28143,500,174.708799
-535.5743,500,174.708806
-600.97534,500,174.70881
-520.9604,500,187.44117
-580.33453,500,187.441221
-448.67978,500,187.441228
-533.3283,500,187.441232
-715.60547,500,197.335202
-370.2696,500,197.335242
-430.67883,500,197.335248
-591.01776,500,197.335252
-398.20312,500,206.818709
-505.92697,500,206.818751
-444.75644,500,206.818757
-450.1334,500,206.818761
-409.38824,500,217.61109
-502.4518,500,217.611141
-595.8975,500,217.611148
-506.0047,500,217.611153
-442.08087,500,230.46595
-468.92804,500,230.465991
-545.82855,500,230.465997
-489.3794,500,230.466002
-396.80722,500,240.430421
-531.7109,500,240.430457
-382.7508,500,240.430463
-385.39905,500,240.430466
-442.82565,500,249.947266
-342.0585,500,249.947302
-536.70496,500,249.947308
