#{"t_start": 1788232299.7679644, "env_id": "None"}
r,l,t
-769.9122,500,25.574682
-824.1455,500,25.57473
-953.49023,500,25.574737
-877.53424,500,25.574742
-844.1097,500,39.787142
-971.6534,500,39.787185
-854.4494,500,39.787191
-1027.886,500,39.787196
-863.29895,500,54.473845
-795.1013,500,54.473887
-844.67126,500,54.473893
-851.8827,500,54.473897
-911.2508,500,70.114768
-785.08405,500,70.11481
-718.4506,500,70.114816
-923.20386,500,70.11482
-1153.4592,500,87.179952
-782.0952,500,87.179998
-887.31024,500,87.180004
-796.0018,500,87.180009
-775.86426,500,101.062674
-1008.5002,500,101.062718
-879.9442,500,101.062724
-801.56995,500,101.062728
-866.3457,500,116.091226
-885.9436,500,116.091268
-860.5525,500,116.091274
-834.7374,500,116.091279
-950.87714,500,131.338449
-884.53265,500,131.338502
-749.70337,500,131.338513
-852.24664,500,131.338518
-766.8473,500,150.281353
-871.5498,500,150.281397
-850.9084,500,150.281405
-804.8152,500,150.28141
-788.2692,500,166.300501
-808.6308,500,166.300605
-823.2944,500,166.300613
-973.59644,500,166.300619
-900.9841,500,182.367225
-880.91736,500,182.367268
-725.7018,500,182.367274
-725.0701,500,182.367278
-897.69476,500,198.810013
-852.6934,500,198.810059
-877.0033,500,198.810066
-824.6484,500,198.810071
-776.5799,500,217.277
-845.0208,500,217.277047
-719.962,500,217.277053
-890.8501,500,217.277059
-824.96783,500,234.08567
-983.71686,500,234.085717
-733.35175,500,234.085724
-871.5976,500,234.08573
-605.2225,500,250.800703
-823.7512,500,250.800744
-892.7254,500,250.80075
-820.8982,500,250.800755
-885.69183,500,267.97766
-875.2365,500,267.977708
-838.9665,500,267.977714
-581.8395,500,267.977719
-738.9564,500,287.354528
-798.4848,500,287.354631
-879.4903,500,287.354654
-787.41943,500,287.354661
-902.50916,500,303.934382
-894.44055,500,303.934425
-747.2797,500,303.934431
-744.5199,500,303.934436
-869.574,500,320.382488
-869.35345,500,320.382538
-824.8133,500,320.382546
-746.63495,500,320.38255
-817.6738,500,336.504522
-789.7181,500,336.504564
-847.6714,500,336.50457
-810.62256,500,336.504575
-869.87415,500,356.095073
-841.2469,500,356.09512
-886.4242,500,356.095127
-926.72565,500,356.095132
-862.1444,500,372.783778
-809.2049,500,372.783822
-875.4501,500,372.783828
-732.7263,500,372.783833
-781.28644,500,389.76573
-767.6993,500,389.765776
-988.763,500,389.765782
-818.94244,500,389.765787
-792.9089,500,407.0437
-832.1996,500,407.043751
-583.96204,500,407.043757
-918.6615,500,407.043762
-628.4273,500,428.461596
-811.4952,500,428.461643
-887.71716,500,428.461649
-894.42535,500,428.461654
-856.56647,500,445.905534
-862.4597,500,445.905583
-920.09955,500,445.90559
-869.15356,500,445.905594
-716.16095,500,463.999763
-735.60706,500,463.99981
-893.12756,500,463.999817
-864.63043,500,463.999822
-860.8569,500,483.04722
-790.7727,500,483.047265
-421.1361,500,483.047272
-828.5094,500,483.047276
-805.6743,500,502.613297
-915.05225,500,502.613361
-887.9383,500,502.613375
